2015-08-28,全銘柄日足,http://k-db.com/
コード,銘柄名,市場,業種,始値,高値,安値,終値,出来高,売買代金
I101,日経平均株価,東証,指数,18908.73,19192.82,18901.09,19136.32,-,-
I102,TOPIX,東証,指数,1529.82,1555.85,1529.23,1549.80,-,-
I103,JPX日経インデックス400,東証,指数,13768.83,13994.74,13762.22,13943.68,-,-
I104,東証2部株価指数,東証,指数,4702.49,4757.28,4702.49,4745.40,-,-
I105,東証マザーズ指数,東証,指数,799.53,815.08,799.44,811.56,-,-
I111,TOPIX コア 30,東証,指数,763.66,777.37,763.19,774.49,-,-
I112,TOPIX ラージ 70,東証,指数,1462.86,1488.52,1462.38,1482.46,-,-
I113,TOPIX 100,東証,指数,996.47,1013.93,996.01,1010.29,-,-
I114,TOPIX ミッド 400,東証,指数,1720.73,1746.53,1719.72,1739.67,-,-
I115,TOPIX 500,東証,指数,1195.11,1215.50,1194.57,1210.59,-,-
I116,TOPIX スモール,東証,指数,1748.02,1776.27,1747.66,1771.79,-,-
I117,TOPIX 1000,東証,指数,1447.51,1472.25,1446.92,1466.37,-,-
I118,TOPIX バリュー指数,東証,指数,1792.32,1827.26,1791.29,1820.23,-,-
I119,TOPIX グロース指数,東証,指数,1892.01,1917.82,1891.29,1911.59,-,-
I120,TOPIX 500 バリュー指数,東証,指数,1757.45,1791.95,1756.37,1784.75,-,-
I121,TOPIX 500 グロース指数,東証,指数,1888.28,1913.90,1887.53,1907.62,-,-
I122,TOPIX Small バリュー指数,東証,指数,2189.27,2228.93,2188.75,2224.24,-,-
I123,TOPIX Small グロース指数,東証,指数,1934.35,1962.11,1933.93,1956.41,-,-
I124,TOPIX レバレッジ(2倍)指数,東証,指数,38479.98,39731.30,38442.96,39457.34,-,-
I125,TOPIX インバース(-1倍)指数,東証,指数,4158.65,4160.77,4086.95,4102.65,-,-
I126,TOPIX ダブルインバース(-2倍)指数,東証,指数,1511.05,1512.63,1457.88,1469.52,-,-
I130,TOPIX Ex-Financials,東証,指数,1281.78,1302.55,1281.14,1297.79,-,-
I131,TOPIXアジア関連株指数,東証,指数,1834.17,1888.97,1834.17,1878.09,-,-
I132,東証マザーズCore指数,東証,指数,3535.90,3583.62,3535.84,3559.50,-,-
I133,東証REIT指数,東証,指数,1641.48,1648.99,1635.48,1644.11,-,-
I134,東証REITオフィス指数,東証,指数,1591.38,1605.33,1583.01,1601.75,-,-
I135,東証REIT住宅指数,東証,指数,2296.57,2314.01,2291.51,2293.91,-,-
I136,東証REIT商業物流等指数,東証,指数,2120.99,2128.52,2108.72,2114.09,-,-
I137,東証規模別株価指数 大型,東証,指数,1436.52,1461.69,1435.85,1456.44,-,-
I138,東証規模別株価指数 中型,東証,指数,1810.64,1837.80,1809.59,1830.58,-,-
I139,東証規模別株価指数 小型,東証,指数,2580.61,2622.31,2580.08,2615.69,-,-
I141,日経500種平均,東証,指数,1700.22,1720.85,1699.32,1715.09,-,-
I142,日経株価指数300,東証,指数,310.69,315.67,310.52,314.52,-,-
I143,TOPIX コンポジット 1500,東証,指数,1934.02,1966.18,1933.09,1959.15,-,-
I144,TOPIX コンポジット,東証,指数,1934.28,1966.33,1933.36,1959.35,-,-
I145,東証2部 コンポジット株価指数,東証,指数,2510.43,2539.69,2510.43,2533.35,-,-
I146,東証マザーズ コンポジット株価指数,東証,指数,2372.31,2418.39,2372.06,2407.73,-,-
I147,東証配当フォーカス100指数,東証,指数,1646.62,1676.51,1646.26,1671.97,-,-
I150,TOPIX-17 食品,東証,指数,307.43,309.00,304.71,308.52,-,-
I151,TOPIX-17 エネルギー資源,東証,指数,118.89,124.56,118.89,122.35,-,-
I152,TOPIX-17 建設・資材,東証,指数,226.46,229.56,226.40,228.52,-,-
I153,TOPIX-17 素材・化学,東証,指数,197.18,200.48,197.02,199.76,-,-
I154,TOPIX-17 医薬品,東証,指数,212.65,214.14,211.37,213.93,-,-
I155,TOPIX-17 自動車・輸送機,東証,指数,226.22,233.02,226.22,231.90,-,-
I156,TOPIX-17 鉄鋼・非鉄,東証,指数,207.54,217.49,207.44,216.03,-,-
I157,TOPIX-17 機械,東証,指数,291.07,298.64,290.99,296.97,-,-
I158,TOPIX-17 電機・精密,東証,指数,149.00,152.50,149.00,151.71,-,-
I159,TOPIX-17 情報通信・サービスその他,東証,指数,181.12,182.33,180.29,181.67,-,-
I160,TOPIX-17 電力・ガス,東証,指数,93.15,94.04,91.99,93.21,-,-
I161,TOPIX-17 運輸・物流,東証,指数,176.91,177.19,174.43,176.06,-,-
I162,TOPIX-17 商社・卸売,東証,指数,287.41,297.53,287.41,295.62,-,-
I163,TOPIX-17 小売,東証,指数,205.15,206.53,203.25,205.64,-,-
I164,TOPIX-17 銀行,東証,指数,139.15,142.63,139.07,141.98,-,-
I165,TOPIX-17 金融 (除く銀行),東証,指数,137.62,139.33,137.61,138.66,-,-
I166,TOPIX-17 不動産,東証,指数,348.16,351.45,347.34,350.51,-,-
I201,業種別株価指数 水産・農林業,東証,指数,344.51,350.84,342.61,350.09,-,-
I202,業種別株価指数 鉱業,東証,指数,347.19,367.03,347.16,356.75,-,-
I203,業種別株価指数 建設業,東証,指数,1066.44,1080.54,1066.44,1075.95,-,-
I204,業種別株価指数 食料品,東証,指数,1801.85,1810.65,1785.70,1807.86,-,-
I205,業種別株価指数 繊維製品,東証,指数,724.39,732.42,717.78,730.57,-,-
I206,業種別株価指数 パルプ・紙,東証,指数,480.65,484.92,480.00,483.82,-,-
I207,業種別株価指数 化学,東証,指数,1456.11,1482.09,1455.51,1476.41,-,-
I208,業種別株価指数 医薬品,東証,指数,2750.82,2770.01,2734.24,2767.34,-,-
I209,業種別株価指数 石油石炭製品,東証,指数,941.24,980.99,941.19,969.69,-,-
I210,業種別株価指数 ゴム製品,東証,指数,3151.78,3236.11,3151.31,3214.82,-,-
I211,業種別株価指数 ガラス土石製品,東証,指数,1049.70,1065.68,1049.47,1058.36,-,-
I212,業種別株価指数 鉄鋼,東証,指数,534.15,559.86,534.09,554.70,-,-
I213,業種別株価指数 非鉄金属,東証,指数,944.48,991.31,943.55,986.21,-,-
I214,業種別株価指数 金属製品,東証,指数,1133.80,1149.89,1127.10,1146.59,-,-
I215,業種別株価指数 機械,東証,指数,1476.95,1515.37,1476.53,1506.89,-,-
I216,業種別株価指数 電気機器,東証,指数,1880.31,1927.64,1880.31,1918.13,-,-
I217,業種別株価指数 輸送用機器,東証,指数,3039.96,3132.49,3039.91,3117.52,-,-
I218,業種別株価指数 精密機器,東証,指数,4593.66,4641.84,4575.67,4606.46,-,-
I219,業種別株価指数 その他製品,東証,指数,2070.89,2108.25,2069.50,2096.88,-,-
I220,業種別株価指数 電気・ガス業,東証,指数,562.48,567.88,555.49,562.85,-,-
I221,業種別株価指数 陸運業,東証,指数,2105.99,2111.54,2077.96,2102.48,-,-
I222,業種別株価指数 海運業,東証,指数,410.86,414.38,407.10,411.66,-,-
I223,業種別株価指数 空運業,東証,指数,332.06,332.39,321.15,323.20,-,-
I224,業種別株価指数 倉庫運輸関連,東証,指数,1604.15,1604.15,1582.59,1599.59,-,-
I225,業種別株価指数 情報・通信業,東証,指数,3025.70,3039.79,3001.52,3023.95,-,-
I226,業種別株価指数 卸売業,東証,指数,1182.85,1224.49,1182.85,1216.65,-,-
I227,業種別株価指数 小売業,東証,指数,1180.91,1188.89,1169.98,1183.75,-,-
I228,業種別株価指数 銀行業,東証,指数,216.38,221.78,216.25,220.77,-,-
I229,業種別株価指数 証券商品先物,東証,指数,467.21,479.32,467.11,474.87,-,-
I230,業種別株価指数 保険業,東証,指数,1014.28,1027.28,1009.15,1018.63,-,-
I231,業種別株価指数 その他金融業,東証,指数,624.92,633.05,624.17,628.39,-,-
I232,業種別株価指数 不動産業,東証,指数,1664.52,1680.24,1660.56,1675.72,-,-
I233,業種別株価指数 サービス業,東証,指数,1649.15,1662.81,1643.91,1659.52,-,-
I301,JASDAQ INDEX,JQ,指数,109.61,110.95,109.61,110.84,-,-
I302,JASDAQ INDEX スタンダード,JQ,指数,234.31,237.14,234.31,236.88,-,-
I303,JASDAQ INDEX グロース,JQ,指数,212.99,218.60,212.99,217.57,-,-
I305,JASDAQ-TOP20,JQ,指数,3940.34,4040.92,3933.41,4001.13,-,-
I306,日経ジャスダック平均株価,JQ,指数,2540.14,2569.31,2540.14,2568.40,-,-
F101-1509,日経平均先物 2015年09月限,大証日中,先物,19050,19200,18940,19180,78137,1489652530
F101-1512,日経平均先物 2015年12月限,大証日中,先物,18940,19090,18830,19080,2782,52738711
F101-1603,日経平均先物 2016年03月限,大証日中,先物,18940,19060,18840,19050,95,1799150
F101-1606,日経平均先物 2016年06月限,大証日中,先物,18800,18940,18790,18940,24,452680
F101-1609,日経平均先物 2016年09月限,大証日中,先物,18750,18910,18750,18910,7,131690
F101-1612,日経平均先物 2016年12月限,大証日中,先物,18600,18710,18600,18710,5,93370
F101-1706,日経平均先物 2017年06月限,大証日中,先物,18570,18570,18570,18570,1,18570
F101-1712,日経平均先物 2017年12月限,大証日中,先物,-,-,-,-,0,0
F101-1806,日経平均先物 2018年06月限,大証日中,先物,-,-,-,-,0,0
F101-1812,日経平均先物 2018年12月限,大証日中,先物,-,-,-,-,0,0
F101-1906,日経平均先物 2019年06月限,大証日中,先物,-,-,-,-,0,0
F101-1912,日経平均先物 2019年12月限,大証日中,先物,-,-,-,-,0,0
F101-2006,日経平均先物 2020年06月限,大証日中,先物,-,-,-,-,0,0
F102-1509,日経225mini先物 2015年09月限,大証日中,先物,19050,19200,18940,19180,657612,12532475935
F102-1510,日経225mini先物 2015年10月限,大証日中,先物,18940,19090,18830,19065,11890,225389065
F102-1511,日経225mini先物 2015年11月限,大証日中,先物,18955,19095,18850,19070,974,18447430
F102-1512,日経225mini先物 2015年12月限,大証日中,先物,18950,19100,18840,19075,24346,461630995
F102-1601,日経225mini先物 2016年01月限,大証日中,先物,18945,19085,18845,19055,377,7145485
F102-1603,日経225mini先物 2016年03月限,大証日中,先物,18940,19075,18830,19035,1782,33764195
F102-1606,日経225mini先物 2016年06月限,大証日中,先物,18815,18965,18720,18895,307,5781675
F102-1609,日経225mini先物 2016年09月限,大証日中,先物,18800,18930,18710,18855,47,884430
F102-1612,日経225mini先物 2016年12月限,大証日中,先物,18675,18800,18600,18800,39,728990
F102-1706,日経225mini先物 2017年06月限,大証日中,先物,18495,18630,18495,18625,10,185850
F102-1712,日経225mini先物 2017年12月限,大証日中,先物,18290,18290,18290,18290,1,18290
F102-1806,日経225mini先物 2018年06月限,大証日中,先物,-,-,-,-,0,0
F102-1812,日経225mini先物 2018年12月限,大証日中,先物,-,-,-,-,0,0
F102-1906,日経225mini先物 2019年06月限,大証日中,先物,-,-,-,-,0,0
F102-1912,日経225mini先物 2019年12月限,大証日中,先物,17795,17900,17795,17900,3,53595
F102-2006,日経225mini先物 2020年06月限,大証日中,先物,-,-,-,-,0,0
F103-1509,JPX日経400先物 2015年09月限,大証日中,先物,13940,13995,13800,13960,50511,702407705
F103-1512,JPX日経400先物 2015年12月限,大証日中,先物,-,-,-,-,0,0
F103-1603,JPX日経400先物 2016年03月限,大証日中,先物,-,-,-,-,0,0
F103-1606,JPX日経400先物 2016年06月限,大証日中,先物,-,-,-,-,0,0
F103-1609,JPX日経400先物 2016年09月限,大証日中,先物,-,-,-,-,0,0
F104-1509,TOPIX先物 2015年09月限,大証日中,先物,1545.00,1556.50,1533.50,1553.50,65715,101560978.50
F104-1512,TOPIX先物 2015年12月限,大証日中,先物,1533.00,1540.60,1532.60,1538.90,8,12291.70
F104-1603,TOPIX先物 2016年03月限,大証日中,先物,-,-,-,-,0,0.00
F104-1606,TOPIX先物 2016年06月限,大証日中,先物,-,-,-,-,0,0.00
F104-1609,TOPIX先物 2016年09月限,大証日中,先物,-,-,-,-,0,0.00
F105-1509,ミニTOPIX先物 2015年09月限,大証日中,先物,1543.00,1556.25,1533.25,1552.50,18252,28216586.25
F105-1512,ミニTOPIX先物 2015年12月限,大証日中,先物,1530.00,1550.00,1524.00,1550.00,94,144586.25
F105-1603,ミニTOPIX先物 2016年03月限,大証日中,先物,-,-,-,-,0,0.00
F106-1509,日経平均VI先物 2015年09月限,大証日中,先物,23.15,24.10,23.10,24.10,306,7365.80
F106-1510,日経平均VI先物 2015年10月限,大証日中,先物,23.30,23.70,22.70,23.70,655,15507.55
F106-1511,日経平均VI先物 2015年11月限,大証日中,先物,24.00,24.00,23.95,23.95,3,71.90
F106-1512,日経平均VI先物 2015年12月限,大証日中,先物,-,-,-,-,0,0.00
F106-1601,日経平均VI先物 2016年01月限,大証日中,先物,-,-,-,-,0,0.00
F106-1602,日経平均VI先物 2016年02月限,大証日中,先物,-,-,-,-,0,0.00
F106-1603,日経平均VI先物 2016年03月限,大証日中,先物,-,-,-,-,0,0.00
F106-1604,日経平均VI先物 2016年04月限,大証日中,先物,-,-,-,-,0,0.00
F108-1509,東証REIT指数先物 2015年09月限,大証日中,先物,1653.0,1653.0,1637.5,1649.0,34,55827.5
F108-1512,東証REIT指数先物 2015年12月限,大証日中,先物,-,-,-,-,0,0.0
F108-1603,東証REIT指数先物 2016年03月限,大証日中,先物,-,-,-,-,0,0.0
F109-1509,大証NYダウ先物 2015年09月限,大証日中,先物,16645,16676,16567,16590,100,1662849
F109-1512,大証NYダウ先物 2015年12月限,大証日中,先物,16600,16600,16600,16600,1,16600
F109-1603,大証NYダウ先物 2016年03月限,大証日中,先物,-,-,-,-,0,0
F109-1606,大証NYダウ先物 2016年06月限,大証日中,先物,-,-,-,-,0,0
F101-1509,日経平均先物 2015年09月限,大証夜間,先物,19110,19190,18960,19140,30661,584623580
F101-1512,日経平均先物 2015年12月限,大証夜間,先物,19020,19090,18860,19040,1801,34148161
F101-1603,日経平均先物 2016年03月限,大証夜間,先物,18980,19050,18880,19040,69,1309790
F101-1606,日経平均先物 2016年06月限,大証夜間,先物,18810,18940,18800,18940,30,566560
F101-1609,日経平均先物 2016年09月限,大証夜間,先物,18870,18900,18760,18900,12,226000
F101-1612,日経平均先物 2016年12月限,大証夜間,先物,18810,18810,18810,18810,1,18810
F101-1706,日経平均先物 2017年06月限,大証夜間,先物,18660,18660,18660,18660,1,18660
F101-1712,日経平均先物 2017年12月限,大証夜間,先物,-,-,-,-,0,0
F101-1806,日経平均先物 2018年06月限,大証夜間,先物,-,-,-,-,0,0
F101-1812,日経平均先物 2018年12月限,大証夜間,先物,-,-,-,-,0,0
F101-1906,日経平均先物 2019年06月限,大証夜間,先物,-,-,-,-,0,0
F101-1912,日経平均先物 2019年12月限,大証夜間,先物,-,-,-,-,0,0
F101-2006,日経平均先物 2020年06月限,大証夜間,先物,-,-,-,-,0,0
F102-1509,日経225mini先物 2015年09月限,大証夜間,先物,19110,19190,18960,19140,500837,9549016060
F102-1510,日経225mini先物 2015年10月限,大証夜間,先物,19010,19085,18855,19040,5385,102136245
F102-1511,日経225mini先物 2015年11月限,大証夜間,先物,19015,19090,18870,19035,1210,22957855
F102-1512,日経225mini先物 2015年12月限,大証夜間,先物,19015,19100,18865,19050,27666,524877575
F102-1601,日経225mini先物 2016年01月限,大証夜間,先物,18995,19085,18885,19015,319,6066215
F102-1603,日経225mini先物 2016年03月限,大証夜間,先物,19005,19075,18850,19030,847,16061500
F102-1606,日経225mini先物 2016年06月限,大証夜間,先物,18870,18960,18775,18900,152,2866420
F102-1609,日経225mini先物 2016年09月限,大証夜間,先物,18850,18880,18750,18850,68,1280775
F102-1612,日経225mini先物 2016年12月限,大証夜間,先物,18760,18835,18645,18835,65,1215210
F102-1706,日経225mini先物 2017年06月限,大証夜間,先物,18525,18820,18500,18820,6,111425
F102-1712,日経225mini先物 2017年12月限,大証夜間,先物,18380,18380,18380,18380,1,18380
F102-1806,日経225mini先物 2018年06月限,大証夜間,先物,18370,18370,18370,18370,1,18370
F102-1812,日経225mini先物 2018年12月限,大証夜間,先物,-,-,-,-,0,0
F102-1906,日経225mini先物 2019年06月限,大証夜間,先物,18060,18060,18060,18060,3,54180
F102-1912,日経225mini先物 2019年12月限,大証夜間,先物,17850,17950,17850,17950,4,71500
F102-2006,日経225mini先物 2020年06月限,大証夜間,先物,-,-,-,-,0,0
F103-1509,JPX日経400先物 2015年09月限,大証夜間,先物,13925,14015,13810,13975,3360,46699745
F103-1512,JPX日経400先物 2015年12月限,大証夜間,先物,-,-,-,-,0,0
F103-1603,JPX日経400先物 2016年03月限,大証夜間,先物,-,-,-,-,0,0
F103-1606,JPX日経400先物 2016年06月限,大証夜間,先物,-,-,-,-,0,0
F103-1609,JPX日経400先物 2016年09月限,大証夜間,先物,-,-,-,-,0,0
F104-1509,TOPIX先物 2015年09月限,大証夜間,先物,1550.00,1560.00,1535.00,1555.00,12497,19309374.00
F104-1512,TOPIX先物 2015年12月限,大証夜間,先物,1536.50,1539.50,1531.00,1537.00,45,69079.50
F104-1603,TOPIX先物 2016年03月限,大証夜間,先物,-,-,-,-,0,0.00
F104-1606,TOPIX先物 2016年06月限,大証夜間,先物,-,-,-,-,0,0.00
F104-1609,TOPIX先物 2016年09月限,大証夜間,先物,-,-,-,-,0,0.00
F105-1509,ミニTOPIX先物 2015年09月限,大証夜間,先物,1548.25,1559.75,1535.00,1556.00,4574,7063502.50
F105-1512,ミニTOPIX先物 2015年12月限,大証夜間,先物,1557.25,1557.25,1534.00,1534.00,2,3091.25
F105-1603,ミニTOPIX先物 2016年03月限,大証夜間,先物,-,-,-,-,0,0.00
F108-1509,東証REIT指数先物 2015年09月限,大証夜間,先物,-,-,-,-,0,0.0
F108-1512,東証REIT指数先物 2015年12月限,大証夜間,先物,-,-,-,-,0,0.0
F108-1603,東証REIT指数先物 2016年03月限,大証夜間,先物,-,-,-,-,0,0.0
F109-1509,大証NYダウ先物 2015年09月限,大証夜間,先物,16587,16640,16479,16601,199,3296224
F109-1512,大証NYダウ先物 2015年12月限,大証夜間,先物,-,-,-,-,0,0
F109-1603,大証NYダウ先物 2016年03月限,大証夜間,先物,-,-,-,-,0,0
F109-1606,大証NYダウ先物 2016年06月限,大証夜間,先物,-,-,-,-,0,0
1301-T,極洋,東証1部,水産・農林業,268,268,265,267,154000,41055000
1305-T,ダイワ上場投信-トピックス,東証,その他,1592,1605,1582,1599,333920,531321130
1306-T,TOPIX連動型上場投資信託,東証,その他,1571,1585,1561,1579,6265910,9858971200
1308-T,上場インデックスファンドTOPIX,東証,その他,1554,1567,1544,1561,342800,533861800
1309-T,上海株式指数・上証50連動型上場投資信託,東証,その他,32800,32800,31800,32450,4835,156694400
1310-T,ダイワ上場投信-トピックス・コア30,東証,その他,755,758,748,756,2920,2207200
1311-T,TOPIX Core 30 連動型上場投資信託,東証,その他,765,782,765,780,23640,18345020
1312-T,ラッセル野村小型コア・インデックス連動型上場投資信託,東証,その他,17240,17240,17100,17100,204,3514300
1313-T,サムスンKODEX200証券上場指数投資信託,東証,その他,2271,2339,2271,2339,30,68810
1314-T,上場インデックスファンドS&P日本新興株100,東証,その他,1001,1039,1001,1039,2100,2134500
1319-T,日経300株価指数連動型上場投資信託,東証,その他,304,314,304,307,9000,2785000
1319-F,日経300株価指数連動型上場投資信託,福証,その他,-,-,-,-,0,0
1319-S,日経300株価指数連動型上場投資信託,札証,その他,-,-,-,-,0,0
1320-T,ダイワ上場投信-日経225,東証,その他,19390,19550,19310,19480,97550,1893271610
1321-T,日経225連動型上場投資信託,東証,その他,19360,19560,19290,19480,637365,12369106140
1322-T,上場インデックスファンド中国A株（パンダ）CSI300,東証,その他,4360,4470,4350,4395,10960,48049050
1323-T,NEXT FUNDS 南アフリカ株式指数・FTSE/JSE Africa Top40連動型上場投信,東証,その他,365,375,365,370,11500,4219400
